State,Handgun,Long Gun,Other,Date
Missouri,17012,11619,1610,May-23
Montana,4235,4011,314,May-23
Nebraska,158,1205,19,May-23
Nevada,4890,2324,352,May-23
New Hampshire,5556,2861,388,May-23
New Jersey,8319,3667,1021,May-23
New Mexico,6492,3980,574,May-23
New York,10007,9564,1007,May-23
North Carolina,30437,10045,1315,May-23
North Dakota,1602,2142,125,May-23
Ohio,20161,11643,1319,May-23
Oklahoma,11097,7021,1109,May-23
Oregon,19095,15002,2558,May-23
Pennsylvania,37238,17503,23,May-23
Puerto Rico,4803,373,44,May-23
Rhode Island,976,610,117,May-23
South Carolina,10051,5112,856,May-23
South Dakota,1683,2009,143,May-23
Tennessee,25911,13591,1592,May-23
Texas,58444,27280,3780,May-23
Utah,4930,4030,731,May-23
Vermont,1429,1407,85,May-23
Virgin Islands,37,2,1,May-23
Virginia,22469,12389,3212,May-23
Washington,16683,8441,1011,May-23
West Virginia,4709,4671,243,May-23
Wisconsin,15866,10353,877,May-23
Wyoming,2165,2024,165,May-23
Alabama,18898,11836,1172,Apr-23
Alaska,3390,2743,327,Apr-23
Arizona,18141,9179,1603,Apr-23
Arkansas,6947,5295,427,Apr-23
California,35813,23385,5158,Apr-23
Colorado,20159,13616,2038,Apr-23
Connecticut,5971,1919,1023,Apr-23
Delaware,2270,899,99,Apr-23
District of Columbia,394,9,1,Apr-23
Florida,69152,24519,4616,Apr-23
Georgia,18162,8498,882,Apr-23
Guam,142,80,16,Apr-23
Hawaii,0,0,0,Apr-23
Idaho,5796,5703,619,Apr-23
Illinois,27184,11406,1364,Apr-23
Indiana,20732,12656,1670,Apr-23
Iowa,2867,2720,161,Apr-23
Kansas,6260,4871,622,Apr-23
Kentucky,10210,8238,646,Apr-23
Louisiana,10749,5961,800,Apr-23
Maine,3975,3884,332,Apr-23
Mariana Islands,19,7,0,Apr-23
Maryland,10756,5927,128,Apr-23
Massachusetts,5099,2854,1415,Apr-23
Michigan,22895,17266,2059,Apr-23
Minnesota,12619,13620,1143,Apr-23
Mississippi,8473,5084,374,Apr-23
Missouri,17821,13932,1600,Apr-23
Montana,4677,4987,371,Apr-23
Nebraska,174,1592,22,Apr-23
Nevada,5193,2525,369,Apr-23
New Hampshire,6140,3556,455,Apr-23
New Jersey,8404,3677,982,Apr-23
New Mexico,6711,4144,569,Apr-23
New York,11156,12438,1366,Apr-23
North Carolina,46040,11984,1388,Apr-23
North Dakota,2115,3021,163,Apr-23
Ohio,23293,15181,1549,Apr-23
Oklahoma,12767,8668,1360,Apr-23
Oregon,26529,16392,301,Apr-23
Pennsylvania,43869,21576,47,Apr-23
Puerto Rico,4396,382,40,Apr-23
Rhode Island,1176,736,148,Apr-23
South Carolina,10395,5517,737,Apr-23
South Dakota,2093,2740,191,Apr-23
Tennessee,27862,16636,1935,Apr-23
Texas,56795,28584,4022,Apr-23
Utah,5118,4380,757,Apr-23
Vermont,1708,1881,105,Apr-23
Virgin Islands,20,5,0,Apr-23
Virginia,25421,15125,3368,Apr-23
Washington,23767,19992,24063,Apr-23
West Virginia,4945,5480,272,Apr-23
Wisconsin,19668,15193,1093,Apr-23
Wyoming,2275,2214,193,Apr-23
Alabama,23132,15158,1314,Mar-23
Alaska,3295,2610,397,Mar-23
Arizona,20940,10397,1772,Mar-23
Arkansas,8827,6436,573,Mar-23
California,40714,26473,5455,Mar-23
Colorado,24432,15658,2504,Mar-23
Connecticut,7098,2405,1076,Mar-23
Delaware,2596,1160,94,Mar-23
District of Columbia,412,20,1,Mar-23
Florida,65213,25801,4828,Mar-23
Georgia,22752,10535,1068,Mar-23
Guam,133,107,21,Mar-23
Hawaii,0,0,0,Mar-23
Idaho,6539,5830,724,Mar-23
Illinois,34238,14033,1661,Mar-23
Indiana,26541,14706,2078,Mar-23
Iowa,3578,3699,227,Mar-23
Kansas,7705,6440,790,Mar-23
Kentucky,12713,9877,725,Mar-23
Louisiana,13598,7006,816,Mar-23
Maine,4753,4071,407,Mar-23
Mariana Islands,6,8,0,Mar-23
Maryland,13403,6825,159,Mar-23
Massachusetts,6309,3486,1651,Mar-23
Michigan,29457,20434,2576,Mar-23
Minnesota,13594,13285,1195,Mar-23
Mississippi,10954,6779,495,Mar-23
Missouri,23855,17769,2084,Mar-23
Montana,5511,4888,438,Mar-23
Nebraska,232,1899,28,Mar-23
Nevada,6250,2791,450,Mar-23
New Hampshire,6838,3567,493,Mar-23
New Jersey,10810,4653,1098,Mar-23
New Mexico,8550,4994,646,Mar-23
New York,13030,13570,1592,Mar-23
North Carolina,10041,13772,1214,Mar-23
North Dakota,2456,3123,188,Mar-23
Ohio,29772,17706,2057,Mar-23
Oklahoma,14152,9540,1456,Mar-23
Oregon,32266,17703,0,Mar-23
Pennsylvania,54232,25246,31,Mar-23
Puerto Rico,4768,382,60,Mar-23
Rhode Island,1299,793,133,Mar-23
South Carolina,13880,6899,871,Mar-23
South Dakota,2611,3330,201,Mar-23
Tennessee,32348,18569,2001,Mar-23
Texas,67368,32194,4370,Mar-23
Utah,6476,5263,835,Mar-23
Vermont,2172,1958,153,Mar-23
Virgin Islands,43,6,0,Mar-23
Virginia,28577,16656,3867,Mar-23
Washington,26460,22044,26896,Mar-23
West Virginia,6697,6782,386,Mar-23
Wisconsin,23317,17653,1293,Mar-23
Wyoming,2705,2411,230,Mar-23
Alabama,22128,13370,1209,Feb-23
Alaska,2607,2025,312,Feb-23
Arizona,18576,8692,1538,Feb-23
Arkansas,7850,6003,469,Feb-23
California,36098,21837,4641,Feb-23
Colorado,19318,11729,1886,Feb-23
Connecticut,5941,1937,997,Feb-23
Delaware,2325,1005,90,Feb-23
District of Columbia,307,16,2,Feb-23
Florida,60511,22852,4587,Feb-23
Georgia,21324,9576,1028,Feb-23
Guam,148,69,12,Feb-23
Hawaii,0,0,0,Feb-23
Idaho,5631,4694,621,Feb-23
Illinois,27357,10907,1103,Feb-23
Indiana,24114,12607,1765,Feb-23
Iowa,3022,2825,199,Feb-23
Kansas,7396,5821,732,Feb-23
Kentucky,12761,8864,662,Feb-23
Louisiana,12585,6683,756,Feb-23
Maine,4018,3366,321,Feb-23
Mariana Islands,15,5,0,Feb-23
Maryland,12686,5806,138,Feb-23
Massachusetts,5596,2764,1417,Feb-23
Michigan,24124,15758,2175,Feb-23
Minnesota,10910,9693,1033,Feb-23
Mississippi,10674,6743,481,Feb-23
Missouri,21445,15486,1910,Feb-23
Montana,4166,3859,330,Feb-23
Nebraska,223,1771,33,Feb-23
Nevada,5046,2174,362,Feb-23
New Hampshire,6241,3109,437,Feb-23
New Jersey,8541,3731,936,Feb-23
New Mexico,7439,4251,645,Feb-23
New York,10597,10952,1292,Feb-23
North Carolina,1745,12607,1103,Feb-23
North Dakota,2174,2472,153,Feb-23
Ohio,28191,15172,1813,Feb-23
Oklahoma,13503,9022,1488,Feb-23
Oregon,24857,12697,0,Feb-23
Pennsylvania,47212,21088,35,Feb-23
Puerto Rico,4019,320,47,Feb-23
Rhode Island,1164,807,184,Feb-23
South Carolina,13628,6499,770,Feb-23
South Dakota,2299,2590,177,Feb-23
Tennessee,31754,16829,1961,Feb-23
Texas,63700,29634,4277,Feb-23
Utah,5255,4086,658,Feb-23
Vermont,1861,1822,109,Feb-23
Virgin Islands,78,4,0,Feb-23
Virginia,27299,15238,3617,Feb-23
Washington,17983,12653,7015,Feb-23
West Virginia,6187,5669,319,Feb-23
